parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status,perturbation_induced_absolute_difference,empirical_numerical_floor,difference_to_floor_ratio,resolution_status
k6_DKE,R6,GLOBAL_FIT,forward,0.01,mean_period_s,0.3352382311429939,525.0966807171388,528.6292775028476,OK,3.5325967857087335,0.00029656925937615597,11911.540640252726,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodine_peak_M,1.1670308431260368,0.0002571187890729036,0.00026319089024692295,OK,6.072101174019336e-06,5.347989304009537e-12,1135398.9001935571,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodide_min_M,-0.13613548716728158,9.33506599029047e-11,9.309683039927306e-11,OK,2.5382950363163596e-13,5.97183587233158e-17,4250.443398949835,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.01,iodide_max_M,0.36546310944392324,8.340642116160946e-06,8.401831447914381e-06,OK,6.118933175343569e-08,1.4818695722547057e-13,412919.82033435255,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.02,mean_period_s,0.3352323187818078,523.310522171527,530.3759536578989,OK,7.0654314863718355,0.00029656925937615597,23823.88350442734,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodine_peak_M,1.167104127395039,0.00025406731333211635,0.00026621110881416295,OK,1.2143795482046603e-05,5.347989304009537e-12,2270721.722076381,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodide_min_M,-0.1361558923778471,9.348138185458862e-11,9.297357657029634e-11,OK,5.078052842922826e-13,5.97183587233158e-17,8503.336246145365,RESOLVED
k6_DKE,R6,GLOBAL_FIT,forward,0.02,iodide_max_M,0.3655656290051914,8.309109427033162e-06,8.431519539848045e-06,OK,1.224101128148831e-07,1.4818695722547057e-13,826051.8679024681,RESOLVED
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,mean_period_s,4.1539758519527964e-10,526.8695428428263,526.869542845015,OK,2.188698999816552e-09,0.00029656925937615597,7.3800602409722384e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodine_peak_M,1.598707832695111e-12,0.00026016005094284733,0.00026016005094285145,OK,4.119968255444917e-18,5.347989304009537e-12,7.703770559817802e-07,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodide_min_M,-2.6147754774746705e-10,9.322249661936354e-11,9.322249661911979e-11,OK,2.437468620646492e-22,5.97183587233158e-17,4.081606850482367e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.005,iodide_max_M,2.8421472581246415e-12,8.371544142620026e-06,8.371544142620267e-06,OK,2.405573570202213e-19,1.4818695722547057e-13,1.623336908485182e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,mean_period_s,3.325673230140959e-10,526.8695428430547,526.8695428465595,OK,3.5048515201197006e-09,0.00029656925937615597,1.181798655562711e-05,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodine_peak_M,1.3322232194449028e-12,0.0002601600509428453,0.00026016005094285226,OK,6.938893903907228e-18,5.347989304009537e-12,1.2974771469166823e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodide_min_M,-2.2825424493156e-10,9.32224966193745e-11,9.322249661894894e-11,OK,4.255585757643905e-22,5.97183587233158e-17,7.126092961396808e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.01,iodide_max_M,2.309186913704498e-12,8.371544142620026e-06,8.371544142620404e-06,OK,3.7777669447541795e-19,1.4818695722547057e-13,2.549324863325321e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,mean_period_s,2.732782583537036e-10,526.8695428409712,526.8695428467313,OK,5.760057320003398e-09,0.00029656925937615597,1.9422300652872398e-05,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodine_peak_M,1.3764929740782862e-12,0.00026016005094284153,0.00026016005094285606,OK,1.452830911130576e-17,5.347989304009537e-12,2.7165927763568037e-06,BELOW_NUMERICAL_RESOLUTION
k7_DKE,R7,MEASURED_DERIVED,forward,0.02,iodide_min_M,-1.7512542870208905e-10,9.322249661956587e-11,9.32224966189125e-11,OK,6.533692863403227e-22,5.97183587233158e-17,1.0940844663321736e-05,BELOW_NUMERICAL_RESOLUTION
